시도,구분,합계,01월,02월,03월,04월,05월,06월,07월,08월,09월,10월,11월,12월
전남,부상자수,16808 ,1094 ,1136 ,1295 ,1372 ,1597 ,1400 ,1411 ,1577 ,1522 ,1507 ,1585 ,1312 
경북,발생건수,15269 ,1078 ,999 ,1257 ,1229 ,1369 ,1279 ,1305 ,1395 ,1283 ,1469 ,1432 ,1174 
경북,사망자수,534 ,40 ,35 ,44 ,42 ,45 ,53 ,41 ,47 ,46 ,48 ,51 ,42 
경북,부상자수,23319 ,1667 ,1622 ,1919 ,1813 ,2081 ,1895 ,2051 ,2183 ,1993 ,2124 ,2228 ,1743 
경남,발생건수,13749 ,1049 ,853 ,1192 ,1222 ,1325 ,1139 ,1186 ,1180 ,1132 ,1184 ,1204 ,1083 
경남,사망자수,476 ,26 ,24 ,42 ,40 ,33 ,50 ,48 ,41 ,26 ,53 ,47 ,46 
경남,부상자수,20274 ,1629 ,1267 ,1696 ,1829 ,1910 ,1659 ,1731 ,1835 ,1711 ,1672 ,1757 ,1578 
제주,발생건수,4302 ,320 ,301 ,334 ,327 ,333 ,350 ,404 ,408 ,352 ,374 ,402 ,397 
제주,사망자수,107 ,10 ,14 ,8 ,11 ,6 ,10 ,7 ,4 ,9 ,10 ,8 ,10 
제주,부상자수,6415 ,474 ,402 ,530 ,532 ,462 ,507 ,621 ,621 ,520 ,581 ,578 ,587 
대구,발생건수,13680 ,929 ,909 ,1060 ,1162 ,1274 ,1182 ,1253 ,1172 ,1091 ,1274 ,1246 ,1128 
대구,사망자수,165 ,11 ,13 ,11 ,12 ,10 ,16 ,17 ,11 ,7 ,16 ,16 ,25 
대구,부상자수,19713 ,1373 ,1353 ,1497 ,1712 ,1797 ,1721 ,1814 ,1646 ,1602 ,1789 ,1797 ,1612 
인천,발생건수,8990 ,689 ,629 ,720 ,762 ,816 ,770 ,791 ,747 ,742 ,828 ,789 ,707 
인천,사망자수,157 ,9 ,9 ,20 ,7 ,12 ,17 ,13 ,12 ,12 ,16 ,17 ,13 
인천,부상자수,13594 ,1096 ,966 ,1078 ,1189 ,1219 ,1147 ,1214 ,1112 ,1181 ,1187 ,1134 ,1071 
광주,발생건수,8036 ,599 ,606 ,667 ,699 ,698 ,640 ,599 ,709 ,677 ,724 ,712 ,706 
광주,사망자수,111 ,6 ,9 ,7 ,9 ,9 ,8 ,12 ,8 ,5 ,11 ,16 ,11 
광주,부상자수,13089 ,971 ,1043 ,1039 ,1181 ,1121 ,1070 ,924 ,1172 ,1063 ,1141 ,1210 ,1154 
대전,발생건수,5462 ,402 ,336 ,508 ,481 ,569 ,465 ,440 ,468 ,422 ,455 ,494 ,422 
대전,사망자수,92 ,14 ,10 ,5 ,10 ,6 ,8 ,5 ,7 ,6 ,9 ,7 ,5 
대전,부상자수,8234 ,650 ,488 ,761 ,757 ,878 ,674 ,676 ,727 ,600 ,664 ,700 ,659 
울산,발생건수,5022 ,377 ,372 ,448 ,443 ,466 ,410 ,452 ,409 ,381 ,440 ,404 ,420 
울산,사망자수,128 ,12 ,8 ,7 ,8 ,8 ,10 ,10 ,6 ,10 ,11 ,23 ,15 
울산,부상자수,7305 ,544 ,568 ,672 ,649 ,667 ,599 ,671 ,607 ,550 ,625 ,517 ,636 
세종,발생건수,445 ,21 ,27 ,35 ,36 ,48 ,33 ,36 ,34 ,51 ,36 ,36 ,52 
세종,사망자수,21 ,1 ,2 ,3 ,2 ,3 ,0 ,2 ,3 ,0 ,2 ,3 ,0 
세종,부상자수,747 ,37 ,51 ,67 ,52 ,71 ,65 ,59 ,58 ,97 ,62 ,51 ,77 
